Index,Variable Number,Variable Description,Variable Type1,Variable Units,Variable Type2,变量描述,变量类型
x1,XMEAS(1),A feed (stream 1),Flow,kscmh,Process measurement variable,A进料（流1）,过程测量变量
x2,XMEAS(2),D feed (stream 2),Flow,kgh-1,Process measurement variable,D进料（流2）,过程测量变量
x3,XMEAS(3),E feed (stream 3),Flow,kgh-1,Process measurement variable,E进料（流3）,过程测量变量
x4,XMEAS(4),A and C feed (stream 4),Flow,kscmh,Process measurement variable,A和C总进料（流4）,过程测量变量
x5,XMEAS(5),Recycle flow (stream 8),Flow,kscmh,Process measurement variable,再循环流量（流8）,过程测量变量
x6,XMEAS(6),Reactor feed rate (stream 6),Flow,kscmh,Process measurement variable,反应器进料速度,过程测量变量
x7,XMEAS(7),Reactor pressure,Pressure,KPa,Process measurement variable,反应器压力,过程测量变量
x8,XMEAS(8),Reactor level,Level,%,Process measurement variable,反应器等级,过程测量变量
x9,XMEAS(9),Reactor temperature,Temperature,℃,Process measurement variable,反应器温度,过程测量变量
x10,XMEAS(10),Purge rate (stream 9),Flow,kscmh,Process measurement variable,排放速度（流9）,过程测量变量
x11,XMEAS(11),Product separator temperature,Temperature,℃,Process measurement variable,分离器温度,过程测量变量
x12,XMEAS(12),Product separator level,Level,%,Process measurement variable,分离器液位,过程测量变量
x13,XMEAS(13),Product separator pressure,Pressure,KPa,Process measurement variable,分离器压力,过程测量变量
x14,XMEAS(14),Product separator underflow (stream 10),Flow,m3h-1,Process measurement variable,分离器塔底流量,过程测量变量
x15,XMEAS(15),Stripper level,Level,%,Process measurement variable,汽提塔等级,过程测量变量
x16,XMEAS(16),Stripper pressure,Pressure,KPa,Process measurement variable,汽提塔压力,过程测量变量
x17,XMEAS(17),Stripper underflow (stream 11),Flow,m3h-1,Process measurement variable,汽提塔塔底流量（流11）,过程测量变量
x18,XMEAS(18),Stripper temperature,Temperature,℃,Process measurement variable,汽提塔温度,过程测量变量
x19,XMEAS(19),Stripper steam flow,Flow,kgh-1,Process measurement variable,汽提塔蒸汽流量,过程测量变量
x20,XMEAS(20),Compressor work,Power,kW,Process measurement variable,压缩机功率,过程测量变量
x21,XMEAS(21),Reactor cooling water outlet temperature,Temperature,℃,Process measurement variable,反应器冷却水出口温度,过程测量变量
x22,XMEAS(22),Separator cooling water outlet temperature,Temperature,℃,Process measurement variable,分离器冷却水出口温度,过程测量变量
x23,XMEAS(23),Reactor feed A (stream 6),Component,mol%,Component measurement variable,反应器成分A（流6）,成分测量变量
x24,XMEAS(24),Reactor feed B (stream 6),Component,mol%,Component measurement variable,反应器成分B（流6）,成分测量变量
x25,XMEAS(25),Reactor feed C (stream 6),Component,mol%,Component measurement variable,反应器成分C（流6）,成分测量变量
x26,XMEAS(26),Reactor feed D (stream 6),Component,mol%,Component measurement variable,反应器成分D（流6）,成分测量变量
