Node1,relation,Node2
Reactor,Input,x6
Reactor,State,x7
Reactor,State,x8
Reactor,State,x9
Reactor,State,x21
Reactor,Input,x23
Reactor,Input,x24
Reactor,Input,x25
Reactor,Input,x26
Reactor,Input,x27
Reactor,Input,x28
Reactor,State,x51
Reactor,State,x53
Separator,State,x11
Separator,State,x12
Separator,State,x13
Separator,Output,x14
Separator,State,x22
Separator,Output,x29
Separator,Output,x30
Separator,Output,x31
Separator,Output,x32
Separator,Output,x33
Separator,Output,x34
Separator,Output,x35
Separator,Output,x36
Separator,Output,x47
Separator,Output,x48
Stripper,State,x15
Stripper,State,x16
Stripper,State,x18
Stripper,Output,x17
Stripper,State,x19
Stripper,Output,x37
Stripper,Output,x38
Stripper,Output,x39
Stripper,Output,x40
Stripper,Output,x41
Stripper,Input,x48
Stripper,Output,x49
Stripper,State,x50
Compressor,Output,x5
Compressor,State,x20
Compressor,State,x46
Condenser,State,x52
Stream 1,State,x1
Stream 1,State,x44
Stream 2,State,x2
Stream 2,State,x42
Stream 3,State,x3
Stream 3,State,x43
Stream 4,State,x4
Stream 4,State,x45
Stream 6,State,x6
Stream 6,State,x23
Stream 6,State,x24
Stream 6,State,x25
Stream 6,State,x26
Stream 6,State,x27
Stream 6,State,x28
Stream 8,State,x5
Stream 9,State,x10
Stream 9,State,x47
Stream 9,State,x29
Stream 9,State,x30
Stream 9,State,x31
Stream 9,State,x32
Stream 9,State,x33
Stream 9,State,x34
Stream 9,State,x35
Stream 9,State,x36
Stream 10,State,x14
Stream 10,State,x48
Stream 11,State,x17
Stream 11,State,x49
Stream 11,State,x37
Stream 11,State,x38
Stream 11,State,x39
Stream 11,State,x40
Stream 11,State,x41
Stream 12,State,x21
Stream 12,State,x51
Stream 13,State,x52
Stream 1,Output,Stream 6
Stream 2,Output,Stream 6
Stream 3,Output,Stream 6
Stream 4,Output,Stripper
Stream 14,Input,Condenser
Stream 14,Output,Separator
Stream 6,Input,Stream 1
Stream 6,Input,Stream 2
Stream 6,Input,Stream 3
Stream 6,Input,Stream 8
Stream 6,Output,Reactor
Stream 7,Output,Condenser
Stream 7,Input,Reactor
Stream 8,Input,Stream 5
Stream 8,Input,Compressor
Stream 8,Output,Stream 6
Stream 9,Input,Separator
Stream 10,Input,Separator
Stream 10,Output,Stripper
Stream 11,Input,Stripper
Stream 12,Input,Reactor
Stream 13,State_of,Condenser
Stream 5,Input,Stripper
Stream 5,Output,Stream 8
Reactor,Input,Stream 6
Reactor,Output,Stream 7
Reactor,Output,Stream 12
Separator,Input,Stream 14
Separator,Output,Stream 9
Separator,Output,Compressor
Separator,Output,Stream 10
Stripper,Input,Stream 4
Stripper,Input,Stream 10
Stripper,Output,Stream 11
Stripper,Output,Stream 5
Compressor,Output,Stream 8
Compressor,Input,Separator
Condenser,Input,Stream 7
Condenser,Output,Stream 14
Condenser,State,Stream 13
x7,State_of,Reactor
x8,State_of,Reactor
