Node1 Description,Node1 Type,Relation,Node2 Description,Node2 Type
x6,Measurement,Output,Reactor,Device
Reactor,Device,State,x7,Measurement
x7,Measurement,State_of,Reactor,Device
Reactor,Device,State,x8,Measurement
x8,Measurement,State_of,Reactor,Device
Reactor,Device,State,x9,Measurement
x9,Measurement,State_of,Reactor,Device
Reactor,Device,State,x21,Measurement
x21,Measurement,State_of,Reactor,Device
x23,Measurement,Output,Reactor,Device
x24,Measurement,Output,Reactor,Device
x25,Measurement,Output,Reactor,Device
x26,Measurement,Output,Reactor,Device
x27,Measurement,Output,Reactor,Device
x28,Measurement,Output,Reactor,Device
Reactor,Device,State,x51,Operating
x51,Operating,State_of,Reactor,Device
Reactor,Device,State,x53,Operating
x53,Operating,State_of,Reactor,Device
Separator,Device,State,x11,Measurement
x11,Measurement,State_of,Separator,Device
Separator,Device,State,x12,Measurement
x12,Measurement,State_of,Separator,Device
Separator,Device,State,x13,Measurement
x13,Measurement,State_of,Separator,Device
Separator,Device,Output,x14,Measurement
Separator,Device,State,x22,Measurement
x22,Measurement,State_of,Separator,Device
Separator,Device,Output,x29,Measurement
Separator,Device,Output,x30,Measurement
Separator,Device,Output,x31,Measurement
Separator,Device,Output,x32,Measurement
Separator,Device,Output,x33,Measurement
Separator,Device,Output,x34,Measurement
Separator,Device,Output,x35,Measurement
Separator,Device,Output,x36,Measurement
Separator,Device,Output,x47,Operating
Separator,Device,Output,x48,Operating
Stripper,Device,State,x15,Measurement
x15,Measurement,State_of,Stripper,Device
Stripper,Device,State,x16,Measurement
x16,Measurement,State_of,Stripper,Device
Stripper,Device,State,x18,Measurement
x18,Measurement,State_of,Stripper,Device
Stripper,Device,Output,x17,Measurement
Stripper,Device,State,x19,Measurement
x19,Measurement,State_of,Stripper,Device
Stripper,Device,Output,x37,Measurement
Stripper,Device,Output,x38,Measurement
Stripper,Device,Output,x39,Measurement
Stripper,Device,Output,x40,Measurement
Stripper,Device,Output,x41,Measurement
x48,Operating,Output,Stripper,Device
Stripper,Device,Output,x49,Operating
Stripper,Device,State,x50,Operating
x50,Operating,State_of,Stripper,Device
Compressor,Device,Output,x5,Measurement
Compressor,Device,State,x20,Measurement
x20,Measurement,State_of,Compressor,Device
Compressor,Device,State,x46,Operating
x46,Operating,State_of,Compressor,Device
Condenser,Device,State,x52,Operating
x52,Operating,State_of,Condenser,Device
Stream 1,Stream,State,x1,Measurement
x1,Measurement,State_of,Stream 1,Stream
Stream 1,Stream,State,x44,Operating
x44,Operating,State_of,Stream 1,Stream
Stream 2,Stream,State,x2,Measurement
x2,Measurement,State_of,Stream 2,Stream
Stream 2,Stream,State,x42,Operating
x42,Operating,State_of,Stream 2,Stream
Stream 3,Stream,State,x3,Measurement
